product_name,product_price,product_rating,product_img_url,product_SKU,old_price
"Lenovo Ideapad 15.6"" Intel Celeron 4GB RAM 1TB HDD Wins 10pro","₦ 139,150",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/5352711/1.jpg?9522,LE842CL1XZ6SNNAFAMZ,
DELL XPS 13 7390 10th Gen Intel Core I7 1.8 To 4.9GHz 256SSD 8GB Backlit Win10,"₦ 746,500",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/801618/1.jpg?6826,DE168CL18J9AQNAFAMZ,"<div class=""old"">₦ 810,500</div>"
"Hp 14-DQ0007 Pentium Gold 4417U 128GB SSD 4GB 14"" (1366x768) BT WIN10 S Mode Webcam","₦ 180,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/688638/1.jpg?7144,HP246CL15HO3INAFAMZ,"<div class=""old"">₦ 200,000</div>"
Hp Notebook 15 INTEL CELERON Touchscreen 8GB RAM -1TB HDD  Windows 10,"₦ 184,999",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/6523221/1.jpg?1881,HP246CL1TA89UNAFAMZ,"<div class=""old"">₦ 220,000</div>"
"Hp Notebook 14 - 11th Gen Core I3 4GB  256GB SSD, 14'' FHD Win 10, Silver, 14-dq2055wm","₦ 265,000","<div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/097489/1.jpg?8730,HP246CL1H1O29NAFAMZ,
DELL Vostro 3401 14'' FHD(10th Gen Core I3 1TB HDD - 12GB RAM Windows 10 Pro,"₦ 263,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/7603221/1.jpg?8193,DE168CL1QYT6QNAFAMZ,"<div class=""old"">₦ 280,000</div>"
"Hp Envy 17t Intel Core I7-1.8 Upto 4.0GHz(16GB RAM,16GB OPTANE MEMORY,1TB HDD,4GB NVIDIA MX150 GeFORCE)17.3-Inch Wins 10","₦ 925,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/800513/1.jpg?5130,HP246EL0TNEBLNAFAMZ,
Ipason SmartBook P2X-Intel Celeron N5100 Quad-Core 12GB RAM 256G SSD 14 Inch,"₦ 162,720",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/7008311/1.jpg?5724,IP826CL2E5FVJNAFAMZ,"<div class=""old"">₦ 189,999</div>"
Hp 15 Inch AMD RYZEN™ 3 - 2.6GHz - 3.5GHz -AMD Radeon Graphics 12GB RAM 512GB SSD Windows 10,"₦ 276,800",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/6076311/1.jpg?8337,HP246CL2XQQXBNAFAMZ,
Hp Pavilion 14 2-in-1 11th Gen-Core-i3 512SSD/16GB /Touchscreen,"₦ 382,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/084159/1.jpg?9267,HP246CL0HWT33NAFAMZ,
"Hp Stream 14 Intel Celeron,4GB RAM 64GB EMMC,Wins 10 In S Mode","₦ 168,500",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/080307/1.jpg?8470,HP246CL04T6SZNAFAMZ,"<div class=""old"">₦ 200,000</div>"
Hp Notebook 15 Intel Core I3 Touchscreen 8GB RAM/1TB HDD-Win 10,"₦ 255,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/6848121/1.jpg?0094,HP246CL2AKHVWNAFAMZ,"<div class=""old"">₦ 261,000</div>"
Hp 250 G8 11th Gen Intel Core I7 (1TB HDD/8GB RAM) Intel Iris Xe Wins 10 Pro,"₦ 489,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/092668/1.jpg?5026,HP246CL0MOGHONAFAMZ,
Hp 15 Intel Celeron N4020 8GB RAM 1TB HDD Windows 10 + Mouse,"₦ 196,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/3356501/1.jpg?5622,HP246CL2LO8YQNAFAMZ,"<div class=""old"">₦ 215,000</div>"
Lenovo Thinkbook 15 10th Gen Intel Core I3 (8GB/1TB) Wins 10 Pro+ Carry Case,"₦ 273,000","<div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/912137/1.jpg?3809,LE842EL16TBRDNAFAMZ,
Hp ENVY 13 10th Gen Core I5 256GB SSD  8GB RAM FP Reader Backlit Keyboard Windows 10,"₦ 478,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/649117/1.jpg?9144,HP246EL1EZRA5NAFAMZ,"<div class=""old"">₦ 500,000</div>"
"DELL LATITUDE 7390 X360 CORE I5-1.7GHZ  16GB,256 SSD,Backlit Keyboard Win10 Pro","₦ 475,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/132417/1.jpg?7815,DE168CL00O9S1NAFAMZ,"<div class=""old"">₦ 520,000</div>"
Hp Stream Intel Celeron Mini Laptop(64GB/4GB)Wins10s 11.6inch,"₦ 164,500",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/002877/1.jpg?3019,HP246EL0EVWCDNAFAMZ,"<div class=""old"">₦ 180,000</div>"
Hp 14 Inch AMD RYZEN™ 3 - 2.6GHz - 3.5GHz - 4GB RAM 1TB HDD Windows 10 + Mouse,"₦ 195,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/5883501/1.jpg?7609,HP246CL2UR60UNAFAMZ,"<div class=""old"">₦ 240,000</div>"
DELL LATITUDE 9510 CORE I7 512GB 16GB WIN 10 Non Touch,"₦ 720,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/694487/1.jpg?9191,DE168CL0U6K47NAFAMZ,"<div class=""old"">₦ 750,000</div>"
12.5 Inch 4GB 64GB With N3350 Notebook Laptop Ultra-Thin Internet Laptop,"₦ 188,880",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/144758/1.jpg?8544,GE779CL1FADPYNAFAMZ,"<div class=""old"">₦ 188,890</div>"
"Hp 255 G7, AMD RYZEN 3, 1TB HDD, 4GB RAM, Webcam, Bluetooth, Win 10","₦ 205,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/142027/1.jpg?0758,HP246CL19BZKBNAFAMZ,
"Hp Pavilion 11 X360 Intel Pentium (4GB,128GB SSD) 11.6"" Wins10","₦ 235,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/837107/1.jpg?3613,HP246EL0RAG4ZNAFAMZ,
"Hp 14 Intel Celeron, 64GB, 4GB, Windows 11 In S Mode+ Mouse","₦ 165,900",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/3886101/1.jpg?7066,HP246CL1PJZ5UNAFAMZ,"<div class=""old"">₦ 186,000</div>"
"Hp Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15.6-Inch Windows 10 Black Colour","₦ 242,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/593942/1.jpg?3032,HP246EL1M3RYUNAFAMZ,"<div class=""old"">₦ 265,000</div>"
Hp 15 Intel Core I5 11th Gen Touchscreen/Backlit Keyboard Intel Iris Xe 12GB RAM 1TB HDD Windows 10,"₦ 414,000","<div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/361128/1.jpg?9547,HP246CL18V90ONAFAMZ,
Hp Notebook 240 G8 Intel Core I3 12GB RAM/1TB HDD-WIN 10+ MOUSE,"₦ 248,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/963597/1.jpg?2548,HP246CL1C7BWTNAFAMZ,"<div class=""old"">₦ 290,000</div>"
Hp Pavilion 15 Intel Pentium Quad Core 4GB RAM - FingerPrint Reader- 1TB HDD Windows 10 + 32GB Flash,"₦ 204,499",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/7640811/1.jpg?9416,HP246CL20HTRLNAFAMZ,
19V 4.74A Notebook Computer Charger Laptop Charger For Samsung,"₦ 4,927",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/670466/1.jpg?3782,GE779EA05R9S2NAFAMZ,"<div class=""old"">₦ 7,391</div>"
"Hp 15 INTEL CORE I5 10TH GEN-8GB RAM-1TB HDD,WIN 10","₦ 329,750",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/400299/1.jpg?6457,HP246CL12CBL7NAFAMZ,"<div class=""old"">₦ 360,000</div>"
USB Contact Smart  Card IC Credit Cards Reader Encoder Writer With SIM Slot,"₦ 9,059",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/692357/1.jpg?6929,GE779CL06YLVPNAFAMZ,"<div class=""old"">₦ 13,589</div>"
"Hp Notebook 14 Intel Celeron 8GB RAM, 1TB HDD, Windows 10 Home","₦ 190,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/761127/1.jpg?2282,HP246CL0O9NHJNAFAMZ,"<div class=""old"">₦ 219,000</div>"
Hp PROBOOK 440 G8 11TH GEN INTEL CORE I5 8GB RAM 512GB INTEL IRIS Xe FINGERPRINT WIN 10 PRO,"₦ 524,900",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/461128/1.jpg?9544,HP246CL0DDF48NAFAMZ,
Mini Display Port DP To HDMI Adapter Cable (White) For Apple MacBook,"₦ 2,160",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/320407/1.jpg?7971,GE779EA0P72MVNAFAMZ,"<div class=""old"">₦ 2,592</div>"
"DELL XPS 13 9300 10th Gen Core I7,1TB SSD,16GB,13.4''Wins 10Pro","₦ 1,050,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/783407/1.jpg?7216,DE168CL0PGZVZNAFAMZ,
Lenovo INTEL Core I3® Lenovo 12GB RAM DDR4-1TB HDD WINDOWS 10+Pouch,"₦ 239,999",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/191977/1.jpg?8449,LE842CL0MQL49NAFAMZ,"<div class=""old"">₦ 250,000</div>"
Hp Notebook 15 Intel Core I3 Touchscreen 8GB RAM/1TB HDD-Win 10,"₦ 255,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/9487121/1.jpg?0450,HP246CL37GZS8NAFAMZ,"<div class=""old"">₦ 285,000</div>"
Hp 14 AMD RYZEN™ 3 3250U 12GB RAM 1TB HDD Windows 10 + Mouse,"₦ 207,500",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/932359/1.jpg?6464,HP246CL17F6YVNAFAMZ,"<div class=""old"">₦ 265,000</div>"
Hp 14 Inch AMD RYZEN™ 3 - 2.6GHz - 3.5GHz - 16GB RAM 1TB HDD Windows 10 + Mouse,"₦ 216,000",,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/5783501/1.jpg?7411,HP246CL2H1ZE6NAFAMZ,"<div class=""old"">₦ 240,000</div>"
"Hp 15 AMD Dual Core 256GB SSD,8GB RAM, Wins 10+Free Mouse","₦ 196,500","<div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/390277/1.jpg?3129,HP246CL0EIRNPNAFAMZ,"<div class=""old"">₦ 212,000</div>"
