,Prize Bond,Draw No.,1st,2nd,2nd.1,2nd.2,2nd.3,2nd.4,City,Date,Full List
193,Rs. 200,66,719296,352080,392071,457770,467851.0,886401.0,Faisalabad,15-06-2016,View
194,Rs. 40000,66,190460,218395,660391,679301,,,Lahore,01-06-2016,View
195,Rs. 100,14,920143,482847,877764,919143,,,Peshawar,16-05-2016,View
196,Rs. 1500,66,532148,413902,523304,912440,,,Multan,16-05-2016,View
197,Rs. 7500,66,363381,436560,455481,863988,,,Lahore,02-05-2016,View
198,Rs. 25000,17,485400,39885,157468,408116,,,Rawalpindi,02-05-2016,View
199,Rs. 750,66,326499,140244,295557,945590,,,Karachi,15-04-2016,View
200,Rs. 15000,66,487795,54561,534183,813641,,,Hyderabad,01-04-2016,View
201,Rs. 200,65,296944,594014,607072,740450,875569.0,958905.0,Muzaffarabad,15-03-2016,View
202,Rs. 40000,65,190031,255667,464598,856024,,,Quetta,01-03-2016,View
203,Rs. 1500,65,748085,338227,701280,996309,,,Peshawar,15-02-2016,View
204,Rs. 100,13,866825,373204,732343,967456,,,Faisalabad,15-02-2016,View
205,Rs. 7500,65,775785,15376,596864,777679,,,Multan,01-02-2016,View
206,Rs. 25000,16,755928,737699,845673,984323,,,Lahore,01-02-2016,View
207,Rs. 750,65,805734,657119,796232,916826,,,Rawalpindi,15-01-2016,View
208,Rs. 15000,65,997321,103941,683628,734698,,,Karachi,04-01-2016,View
209,Rs. 200,64,592635,138780,192844,608758,925399.0,947935.0,Faisalabad,15-12-2015,View
210,Rs. 40000,64,60692,330433,338995,751878,,,Rawalpindi,01-12-2015,View
211,Rs. 100,12,571448,31186,242006,538816,,,Karachi,16-11-2015,View
212,Rs. 1500,64,474026,521700,538648,807500,,,Quetta,16-11-2015,View
213,Rs. 25000,15,185716,76022,88008,325312,,,Multan,02-11-2015,View
214,Rs. 7500,64,326731,64235,208651,641071,,,Lahore,02-11-2015,View
215,Rs. 750,64,982732,27902,550367,838001,,,Hyderabad,15-10-2015,View
216,Rs. 15000,64,963920,442107,752952,759945,,,Muzaffarabad,01-10-2015,View
217,Rs. 200,63,105895,21647,86257,852578,878436.0,953043.0,Peshawar,15-09-2015,View
218,Rs. 40000,63,510271,377645,823758,852357,,,Faisalabad,01-09-2015,View
219,Rs. 100,11,401787,203924,212810,837694,,,Multan,17-08-2015,View
220,Rs. 1500,63,380897,328571,349641,460547,,,Karachi,17-08-2015,View
221,Rs. 7500,63,178967,26240,730517,753127,,,Rawalpindi,03-08-2015,View
222,Rs. 25000,14,953805,5653,226193,296951,,,Lahore,03-08-2015,View
223,Rs. 750,63,760833,274397,754236,910787,,,Quetta,15-07-2015,View
224,Rs. 15000,63,420462,468423,623790,745912,,,Hyderabad,02-07-2015,View
225,Rs. 200,62,443829,292902,341488,410904,595682.0,952040.0,Muzaffarabad,15-06-2015,View
226,Rs. 40000,62,826837,36187,115250,845578,,,Peshawar,01-06-2015,View
227,Rs. 100,10,419660,299416,355773,470399,,,Faisalabad,15-05-2015,View
228,Rs. 1500,62,512421,367872,727729,735235,,,Multan,15-05-2015,View
229,Rs. 7500,62,544458,512352,548373,554503,,,Karachi,04-05-2015,View
230,Rs. 25000,13,273592,100797,102908,350706,,,Islamabad,04-05-2015,View
231,Rs. 750,62,911372,294285,417878,758637,,,Lahore,15-04-2015,View
232,Rs. 15000,62,7251,194256,279879,445735,,,Quetta,01-04-2015,View
233,Rs. 200,61,771403,113172,282421,510622,698608.0,765898.0,Hyderabad,16-03-2015,View
234,Rs. 40000,61,946051,289502,333165,345202,,,Muzaffarabad,02-03-2015,View
235,Rs. 100,9,446906,36427,704732,714507,,,Peshawar,16-02-2015,View
236,Rs. 1500,61,749492,457346,692793,914362,,,Faisalabad,16-02-2015,View
237,Rs. 7500,61,676836,315869,481645,645462,,,Multan,02-02-2015,View
238,Rs. 25000,12,727435,239929,582820,904720,,,Karachi,02-02-2015,View
239,Rs. 750,61,163360,547025,835893,948710,,,Rawalpindi,15-01-2015,View
240,Rs. 15000,61,249376,15682,206804,898041,,,Lahore,02-01-2015,View
241,Rs. 200,60,774407,4323,286614,666644,682537.0,907112.0,Lahore,15-12-2014,View
242,Rs. 40000,60,517642,457648,851834,865322,,,Karachi,01-12-2014,View
243,Rs. 100,8,330770,182029,505403,807887,,,Quetta,17-11-2014,View
244,Rs. 1500,60,423616,446659,865808,994771,,,Faisalabad,17-11-2014,View
245,Rs. 7500,60,841853,76696,538729,906880,,,Rawalpindi,05-11-2014,View
246,Rs. 25000,11,423620,302241,303508,589358,,,Hyderabad,05-11-2014,View
247,Rs. 750,60,409087,153627,695616,987816,,,Peshawar,15-10-2014,View
248,Rs. 15000,60,968892,43952,106450,291004,,,Muzaffarabad,01-10-2014,View
249,Rs. 200,59,202242,400548,492702,552451,584301.0,615709.0,Faisalabad,15-09-2014,View
250,Rs. 40000,59,247243,306003,388819,957231,,,Hyderabad,01-09-2014,View
251,Rs. 1500,59,950330,340316,510132,676221,,,Lahore,15-08-2014,View
252,Rs. 100,7,864256,68370,273289,701758,,,Multan,15-08-2014,View
253,Rs. 7500,59,701495,406335,810012,845674,,,Peshawar,04-08-2014,View
254,Rs. 25000,10,594936,35260,416910,518336,,,Karachi,04-08-2014,View
255,Rs. 750,59,795153,107586,227008,796010,,,Muzaffarabad,15-07-2014,View
256,Rs. 15000,59,403849,274971,647103,705707,,,Multan,02-07-2014,View
257,Rs. 200,58,825563,105596,380914,809083,928656.0,962381.0,Quetta,16-06-2014,View
258,Rs. 40000,58,615846,48149,329853,733528,,,Faisalabad,02-06-2014,View
259,Rs. 100,6,37942,436449,475957,696570,,,Lahore,15-05-2014,View
260,Rs. 1500,58,930079,270397,579451,745877,,,Peshawar,15-05-2014,View
261,Rs. 7500,58,187100,262353,409671,453556,,,Hyderabad,02-05-2014,View
262,Rs. 25000,9,955812,101089,660622,933600,,,Muzaffarabad,02-05-2014,View
263,Rs. 750,58,852954,155479,424358,829364,,,Karachi,15-04-2014,View
264,Rs. 15000,58,884935,130030,735201,858749,,,Rawalpindi,01-04-2014,View
265,Rs. 200,57,923987,66519,458035,718363,802131.0,923798.0,Hyderabad,17-03-2014,View
266,Rs. 40000,57,495678,73546,237908,565106,,,Peshawar,03-03-2014,View
267,Rs. 100,5,287615,7634,70333,456622,,,Muzaffarabad,17-02-2014,View
268,Rs. 1500,57,97759,276315,282461,435523,,,Multan,17-02-2014,View
269,Rs. 7500,57,793672,662885,677218,811157,,,Faisalabad,03-02-2014,View
270,Rs. 25000,8,710524,396251,678355,816282,,,Lahore,03-02-2014,View
271,Rs. 750,57,705840,439991,539415,759412,,,Rawalpindi,15-01-2014,View
272,Rs. 15000,57,457470,69106,366848,517990,,,Karachi,02-01-2014,View
273,Rs. 200,56,58709,46499,130182,330633,468096.0,768754.0,Lahore,16-12-2013,View
274,Rs. 40000,56,188024,489986,631220,752792,,,Faisalabad,02-12-2013,View
275,Rs. 100,4,361467,195749,249516,568326,,,Lahore,18-11-2013,View
276,Rs. 1500,56,638901,37468,198195,877732,,,Rawalpindi,18-11-2013,View
277,Rs. 7500,56,560022,108951,404745,951153,,,Multan,01-11-2013,View
278,Rs. 25000,7,218850,398464,506718,959586,,,Muzaffarabad,01-11-2013,View
